held_out_match,model,f1,precision,recall,n_leaves,actual_depth
J03WPY,decision_tree(depth=3),0.6226912928759895,0.5315315315315315,0.7515923566878981,8.0,3.0
J03WPY,decision_tree(depth=5),0.6556603773584906,0.5205992509363296,0.8853503184713376,29.0,5.0
J03WPY,decision_tree(depth=8),0.675392670157068,0.5733333333333334,0.821656050955414,110.0,8.0
J03WPY,decision_tree(depth=None),0.5769230769230769,0.5806451612903226,0.5732484076433121,520.0,27.0
J03WPY,xgboost,0.6984126984126984,0.5972850678733032,0.8407643312101911,,
J03WMX,decision_tree(depth=3),0.5310344827586206,0.37745098039215685,0.8953488372093024,7.0,3.0
J03WMX,decision_tree(depth=5),0.5649717514124294,0.4178272980501393,0.872093023255814,25.0,5.0
J03WMX,decision_tree(depth=8),0.5818965517241379,0.4623287671232877,0.7848837209302325,116.0,8.0
J03WMX,decision_tree(depth=None),0.576271186440678,0.5604395604395604,0.5930232558139535,544.0,23.0
J03WMX,xgboost,0.6422413793103449,0.5102739726027398,0.8662790697674418,,
J03WN1,decision_tree(depth=3),0.4942263279445728,0.36394557823129253,0.7697841726618705,8.0,3.0
J03WN1,decision_tree(depth=5),0.5619047619047619,0.4199288256227758,0.8489208633093526,30.0,5.0
J03WN1,decision_tree(depth=8),0.5408163265306123,0.4189723320158103,0.762589928057554,120.0,8.0
J03WN1,decision_tree(depth=None),0.47058823529411764,0.4533333333333333,0.4892086330935252,551.0,24.0
J03WN1,xgboost,0.5978835978835979,0.47280334728033474,0.8129496402877698,,
J03WOH,decision_tree(depth=3),0.5571847507331378,0.45893719806763283,0.7089552238805971,8.0,3.0
J03WOH,decision_tree(depth=5),0.5895953757225434,0.4811320754716981,0.7611940298507462,28.0,5.0
J03WOH,decision_tree(depth=8),0.5722543352601156,0.4669811320754717,0.7388059701492538,115.0,8.0
J03WOH,decision_tree(depth=None),0.5298507462686567,0.5298507462686567,0.5298507462686567,553.0,23.0
J03WOH,xgboost,0.629080118694362,0.5221674876847291,0.7910447761194029,,
J03WOY,decision_tree(depth=3),0.5124378109452736,0.3786764705882353,0.7923076923076923,8.0,3.0
J03WOY,decision_tree(depth=5),0.555858310626703,0.43037974683544306,0.7846153846153846,25.0,5.0
J03WOY,decision_tree(depth=8),0.5689149560117303,0.4597156398104265,0.7461538461538462,99.0,8.0
J03WOY,decision_tree(depth=None),0.5196850393700787,0.532258064516129,0.5076923076923077,512.0,27.0
J03WOY,xgboost,0.6066066066066066,0.4975369458128079,0.7769230769230769,,
J03WQQ,decision_tree(depth=3),0.5742971887550201,0.43333333333333335,0.8511904761904762,8.0,3.0
J03WQQ,decision_tree(depth=5),0.5829383886255924,0.484251968503937,0.7321428571428571,29.0,5.0
J03WQQ,decision_tree(depth=8),0.6177215189873417,0.5374449339207048,0.7261904761904762,110.0,8.0
J03WQQ,decision_tree(depth=None),0.5080385852090032,0.5524475524475524,0.47023809523809523,536.0,22.0
J03WQQ,xgboost,0.6615776081424937,0.5777777777777777,0.7738095238095238,,
J03WR9,decision_tree(depth=3),0.5830721003134797,0.4603960396039604,0.7948717948717948,8.0,3.0
J03WR9,decision_tree(depth=5),0.5791245791245792,0.4777777777777778,0.7350427350427351,27.0,5.0
J03WR9,decision_tree(depth=8),0.5755395683453237,0.4968944099378882,0.6837606837606838,118.0,8.0
J03WR9,decision_tree(depth=None),0.5,0.5454545454545454,0.46153846153846156,548.0,23.0
J03WR9,xgboost,0.6,0.5153374233128835,0.717948717948718,,
